"","Target","Effector","Median_FCC","MAD"
"203","Supply_COA","TPI",0.0167,0.02846592
"204","Supply_FUM","TPI",0.0013,0.00504084
"205","Supply_P_i","TPI",-0.0034,0.014826
"206","TAL","TPI",0.0162,0.02579724
"207","TKT1","TPI",-0.0011,0.01541904
"208","TKT2","TPI",0.0047,0.01393644
"209","TPI","TPI",0.0071,0.01378818
"210","XFPK1","TPI",0.1102,0.1534491
"211","XFPK2","TPI",-0.018,0.16101036
"212","ZWF","TPI",0.0403,0.05811792
"213","ACO","ALD",-0.0032,0.0274281
"214","ADK","ALD",-8e-04,0.01378818
"215","ALD","ALD",0.4952,0.33595716
"216","ATPSyn","ALD",-7e-04,0.00637518
"217","CS","ALD",-0.0032,0.0274281
"218","DEVB","ALD",0.0042,0.02920722
"219","ENO","ALD",-0.011,0.02253552
"220","FBA","ALD",-0.0196,0.01882902
"221","FBPase","ALD",0.4952,0.33595716
"222","FUMC","ALD",1e-04,0.00311346
"223","GAPD","ALD",-9e-04,0.00696822
"224","GLCO","ALD",-0.0017,0.00711648
"225","GND","ALD",0.0042,0.02920722
"226","ICD","ALD",-0.0032,0.0274281
"227","MDH","ALD",0.0211,0.07413
"228","ME","ALD",0.0048,0.0155673
"229","NADPase","ALD",-5e-04,0.0066717
"230","PDH","ALD",-0.0169,0.03869586
"231","PGI","ALD",0.0086,0.0303933
"232","PGK","ALD",-9e-04,0.00696822
"233","PGM","ALD",-0.011,0.02253552
"234","PGP","ALD",-0.0017,0.00711648
"235","PNT","ALD",-0.0065,0.01690164
"236","PPK","ALD",0.0044,0.02179422
"237","PRK","ALD",-0.0017,0.00711648
"238","PRSA","ALD",-8e-04,0.01378818
"239","PTA","ALD",0.0093,0.06167616
"240","PYK","ALD",-0.093,0.13728876
"241","RPE","ALD",-0.0018,0.00681996
"242","RPI","ALD",-0.0015,0.00845082
"243","RuBisC","ALD",-0.0017,0.00711648
"244","RuBisO","ALD",-0.0017,0.00711648
"245","SBPase","ALD",-0.0196,0.01882902
"246","Sink_ACCOA","ALD",-0.0043,0.01823598
"247","Sink_E4P","ALD",0.0097,0.02268378
"248","Sink_G6P","ALD",0.008,0.029652
"249","Sink_GLX","ALD",-0.0017,0.00711648
"250","Sink_H2O2","ALD",-0.0017,0.00711648
"251","Sink_O2G","ALD",-0.0032,0.0274281
"252","Sink_OAA","ALD",0.0018,0.01438122
"253","Sink_P3G","ALD",-6e-04,0.01512252
"254","Sink_PRPP","ALD",-8e-04,0.01378818
"255","Sink_PYR","ALD",-0.0146,0.02624202
"256","Supply_COA","ALD",-0.0043,0.01823598
"257","Supply_FUM","ALD",1e-04,0.00311346
"258","Supply_P_i","ALD",0.0013,0.00681996
"259","TAL","ALD",-0.0372,0.03009678
"260","TKT1","ALD",-0.0022,0.007413
"261","TKT2","ALD",-0.0015,0.007413
"262","TPI","ALD",-7e-04,0.00756126
"263","XFPK1","ALD",0.0115,0.06701352
"264","XFPK2","ALD",-0.0183,0.06908916
"265","ZWF","ALD",0.0042,0.02920722
"266","ACO","TKT1",0.016,0.09310728
"267","ADK","TKT1",-0.0232,0.05663532
"268","ALD","TKT1",-0.582,0.66301872
"269","ATPSyn","TKT1",0.0068,0.02564898
"270","CS","TKT1",0.016,0.09310728
"271","DEVB","TKT1",0.0328,0.10496808
"272","ENO","TKT1",0.0096,0.08776992
"273","FBA","TKT1",0.0335,0.04640538
"274","FBPase","TKT1",-0.582,0.66301872
"275","FUMC","TKT1",7e-04,0.01052646
"276","GAPD","TKT1",0.0079,0.02727984
"277","GLCO","TKT1",0.0065,0.02905896
"278","GND","TKT1",0.0328,0.10496808
"279","ICD","TKT1",0.016,0.09310728
"280","MDH","TKT1",-0.0667,0.2564898
"281","ME","TKT1",-0.0109,0.05174274
"282","NADPase","TKT1",0.0074,0.02653854
"283","PDH","TKT1",0.0138,0.1230558
"284","PGI","TKT1",0.0347,0.11401194
"285","PGK","TKT1",0.0079,0.02727984
"286","PGM","TKT1",0.0096,0.08776992
"287","PGP","TKT1",0.0065,0.02905896
"288","PNT","TKT1",0.0072,0.05307708
"289","PPK","TKT1",-0.0088,0.08361864
"290","PRK","TKT1",0.0065,0.02905896
"291","PRSA","TKT1",-0.0232,0.05663532
"292","PTA","TKT1",0.0221,0.2112705
"293","PYK","TKT1",0.1148,0.31386642
"294","RPE","TKT1",0.0056,0.0281694
"295","RPI","TKT1",0.0087,0.03291372
"296","RuBisC","TKT1",0.0065,0.02905896
"297","RuBisO","TKT1",0.0065,0.02905896
"298","SBPase","TKT1",0.0335,0.04640538
"299","Sink_ACCOA","TKT1",0.0175,0.05248404
"300","Sink_E4P","TKT1",0.0574,0.10734024
"301","Sink_G6P","TKT1",0.0317,0.1097124
"302","Sink_GLX","TKT1",0.0065,0.02905896
"303","Sink_H2O2","TKT1",0.0065,0.02905896
"304","Sink_O2G","TKT1",0.016,0.09310728
"305","Sink_OAA","TKT1",-0.0038,0.05619054
"306","Sink_P3G","TKT1",-0.0114,0.06182442
"307","Sink_PRPP","TKT1",-0.0232,0.05663532
"308","Sink_PYR","TKT1",0.0163,0.06731004
"309","Supply_COA","TKT1",0.0175,0.05248404
"310","Supply_FUM","TKT1",7e-04,0.01052646
"311","Supply_P_i","TKT1",-0.0051,0.029652
"312","TAL","TKT1",0.0628,0.07605738
"313","TKT1","TKT1",0.0055,0.03143112
"314","TKT2","TKT1",0.006,0.02920722
"315","TPI","TKT1",0.009,0.02905896
"316","XFPK1","TKT1",0.0312,0.23380602
"317","XFPK2","TKT1",-0.0561,0.35389662
"318","ZWF","TKT1",0.0328,0.10496808
"319","ACO","TKT2",4e-04,0.09651726
"320","ADK","TKT2",0.0127,0.05470794
"321","ALD","TKT2",0.4591,0.61854072
"322","ATPSyn","TKT2",-0.0022,0.02194248
"323","CS","TKT2",4e-04,0.09651726
"324","DEVB","TKT2",-0.0836,0.12172146
"325","ENO","TKT2",0.0423,0.0896973
"326","FBA","TKT2",-0.0204,0.03024504
"327","FBPase","TKT2",0.4591,0.61854072
"328","FUMC","TKT2",-0.0036,0.0096369
"329","GAPD","TKT2",-0.0021,0.02386986
"330","GLCO","TKT2",0.0011,0.0266868
"331","GND","TKT2",-0.0836,0.12172146
"332","ICD","TKT2",4e-04,0.09651726
"333","MDH","TKT2",0.1481,0.24196032
"334","ME","TKT2",0.0235,0.04803624
"335","NADPase","TKT2",-0.0026,0.0229803
"336","PDH","TKT2",0.0417,0.11593932
"337","PGI","TKT2",-0.1111,0.15107694
"338","PGK","TKT2",-0.0021,0.02386986
"339","PGM","TKT2",0.0423,0.0896973
"340","PGP","TKT2",0.0011,0.0266868
"341","PNT","TKT2",0.0121,0.05026014
"342","PPK","TKT2",0.0518,0.08554602
"343","PRK","TKT2",0.0011,0.0266868
"344","PRSA","TKT2",0.0127,0.05470794
"345","PTA","TKT2",-0.1274,0.20222664
"346","PYK","TKT2",0.0095,0.2905896
"347","RPE","TKT2",0.0023,0.02579724
"348","RPI","TKT2",-8e-04,0.03009678
"349","RuBisC","TKT2",0.0011,0.0266868
"350","RuBisO","TKT2",0.0011,0.0266868
"351","SBPase","TKT2",-0.0204,0.03024504
"352","Sink_ACCOA","TKT2",-0.02,0.0481845
"353","Sink_E4P","TKT2",-0.0383,0.08702862
"354","Sink_G6P","TKT2",-0.1066,0.1467774
"355","Sink_GLX","TKT2",0.0011,0.0266868
"356","Sink_H2O2","TKT2",0.0011,0.0266868
"357","Sink_O2G","TKT2",4e-04,0.09651726
"358","Sink_OAA","TKT2",0.0349,0.05619054
"359","Sink_P3G","TKT2",0.0434,0.0644931
"360","Sink_PRPP","TKT2",0.0127,0.05470794
"361","Sink_PYR","TKT2",9e-04,0.0630105
"362","Supply_COA","TKT2",-0.02,0.0481845
"363","Supply_FUM","TKT2",-0.0036,0.0096369
"364","Supply_P_i","TKT2",0.0015,0.02624202
"365","TAL","TKT2",-0.0493,0.06612396
"366","TKT1","TKT2",0.0063,0.02861418
"367","TKT2","TKT2",-1e-04,0.02639028
"368","TPI","TKT2",-0.0043,0.02505594
"369","XFPK1","TKT2",-0.1654,0.23810556
"370","XFPK2","TKT2",0.3414,0.45456516
"371","ZWF","TKT2",-0.0836,0.12172146
"372","ACO","FBPase",0.0176,0.03988194
"373","ADK","FBPase",-0.0065,0.0177912
"374","ALD","FBPase",0.3003,0.29088612
