"","Target","Effector","Median_FCC","MAD"
"193","Sink_ACCOA","TPI",0.01,0.02312856
"194","Sink_E4P","TPI",-0.0165,0.03973368
"195","Sink_G6P","TPI",0.035,0.05070492
"196","Sink_GLX","TPI",0.0014,0.00993342
"197","Sink_H2O2","TPI",0.0014,0.00993342
"198","Sink_O2G","TPI",0.0106,0.0333585
"199","Sink_OAA","TPI",-0.001,0.0207564
"200","Sink_P3G","TPI",-0.0083,0.0229803
"201","Sink_PRPP","TPI",-0.0079,0.02045988
"202","Sink_PYR","TPI",-0.001,0.02950374
"203","Supply_COA","TPI",0.01,0.02312856
"204","Supply_FUM","TPI",0.0011,0.00415128
"205","Supply_P_i","TPI",-0.0013,0.01082298
"206","TAL","TPI",0.0096,0.0177912
"207","TKT1","TPI",-0.001,0.01200906
"208","TKT2","TPI",0.0029,0.00993342
"209","TPI","TPI",0.0047,0.00978516
"210","XFPK1","TPI",0.0759,0.11430846
"211","XFPK2","TPI",-0.0114,0.12854142
"212","ZWF","TPI",0.0305,0.04507104
"213","ACO","ALD",-0.0025,0.03083808
"214","ADK","ALD",-0.001,0.01882902
"215","ALD","ALD",0.4241,0.35775138
"216","ATPSyn","ALD",-3e-04,0.00874734
"217","CS","ALD",-0.0025,0.03083808
"218","DEVB","ALD",0.0038,0.04210584
"219","ENO","ALD",-0.0085,0.02831766
"220","FBA","ALD",-0.0157,0.0200151
"221","FBPase","ALD",0.4241,0.35775138
"222","FUMC","ALD",1e-04,0.00400302
"223","GAPD","ALD",-5e-04,0.00934038
"224","GLCO","ALD",-0.0011,0.00934038
"225","GND","ALD",0.0038,0.04210584
"226","ICD","ALD",-0.0025,0.03083808
"227","MDH","ALD",0.0223,0.10022376
"228","ME","ALD",0.005,0.02060814
"229","NADPase","ALD",-2e-04,0.00919212
"230","PDH","ALD",-0.0138,0.04699842
"231","PGI","ALD",0.0076,0.04329192
"232","PGK","ALD",-5e-04,0.00934038
"233","PGM","ALD",-0.0085,0.02831766
"234","PGP","ALD",-0.0011,0.00934038
"235","PNT","ALD",-0.0053,0.02045988
"236","PPK","ALD",0.0054,0.0281694
"237","PRK","ALD",-0.0011,0.00934038
"238","PRSA","ALD",-0.001,0.01882902
"239","PTA","ALD",0.0061,0.08806644
"240","PYK","ALD",-0.0789,0.15078042
"241","RPE","ALD",-0.0012,0.0088956
"242","RPI","ALD",-9e-04,0.01141602
"243","RuBisC","ALD",-0.0011,0.00934038
"244","RuBisO","ALD",-0.0011,0.00934038
"245","SBPase","ALD",-0.0157,0.0200151
"246","Sink_ACCOA","ALD",-0.004,0.02431464
"247","Sink_E4P","ALD",0.0121,0.037065
"248","Sink_G6P","ALD",0.0069,0.04195758
"249","Sink_GLX","ALD",-0.0011,0.00934038
"250","Sink_H2O2","ALD",-0.0011,0.00934038
"251","Sink_O2G","ALD",-0.0025,0.03083808
"252","Sink_OAA","ALD",0.0021,0.01868076
"253","Sink_P3G","ALD",-5e-04,0.02105292
"254","Sink_PRPP","ALD",-0.001,0.01882902
"255","Sink_PYR","ALD",-0.012,0.0303933
"256","Supply_COA","ALD",-0.004,0.02431464
"257","Supply_FUM","ALD",1e-04,0.00400302
"258","Supply_P_i","ALD",0.0012,0.00904386
"259","TAL","ALD",-0.0311,0.03083808
"260","TKT1","ALD",-0.0015,0.00978516
"261","TKT2","ALD",-0.001,0.00978516
"262","TPI","ALD",-3e-04,0.01052646
"263","XFPK1","ALD",0.0077,0.09622074
"264","XFPK2","ALD",-0.0137,0.10467156
"265","ZWF","ALD",0.0038,0.04210584
"266","ACO","TKT1",0.0122,0.07590912
"267","ADK","TKT1",-0.0124,0.04610886
"268","ALD","TKT1",-0.4024,0.48080718
"269","ATPSyn","TKT1",0.0052,0.02045988
"270","CS","TKT1",0.0122,0.07590912
"271","DEVB","TKT1",0.0175,0.096369
"272","ENO","TKT1",0.0111,0.0726474
"273","FBA","TKT1",0.0244,0.03469284
"274","FBPase","TKT1",-0.4024,0.48080718
"275","FUMC","TKT1",3e-04,0.00904386
"276","GAPD","TKT1",0.006,0.02179422
"277","GLCO","TKT1",0.0055,0.0229803
"278","GND","TKT1",0.0175,0.096369
"279","ICD","TKT1",0.0122,0.07590912
"280","MDH","TKT1",-0.0388,0.2275791
"281","ME","TKT1",-0.0058,0.04566408
"282","NADPase","TKT1",0.0054,0.02120118
"283","PDH","TKT1",0.0178,0.1089711
"284","PGI","TKT1",0.016,0.10170636
"285","PGK","TKT1",0.006,0.02179422
"286","PGM","TKT1",0.0111,0.0726474
"287","PGP","TKT1",0.0055,0.0229803
"288","PNT","TKT1",0.0086,0.04685016
"289","PPK","TKT1",-0.003,0.06864438
"290","PRK","TKT1",0.0055,0.0229803
"291","PRSA","TKT1",-0.0124,0.04610886
"292","PTA","TKT1",0.0015,0.20326446
"293","PYK","TKT1",0.0941,0.28451094
"294","RPE","TKT1",0.0052,0.022239
"295","RPI","TKT1",0.0065,0.02683506
"296","RuBisC","TKT1",0.0055,0.0229803
"297","RuBisO","TKT1",0.0055,0.0229803
"298","SBPase","TKT1",0.0244,0.03469284
"299","Sink_ACCOA","TKT1",0.0102,0.0511497
"300","Sink_E4P","TKT1",0.0393,0.10111332
"301","Sink_G6P","TKT1",0.0141,0.09799986
"302","Sink_GLX","TKT1",0.0055,0.0229803
"303","Sink_H2O2","TKT1",0.0055,0.0229803
"304","Sink_O2G","TKT1",0.0122,0.07590912
"305","Sink_OAA","TKT1",-9e-04,0.04610886
"306","Sink_P3G","TKT1",-0.0046,0.05233578
"307","Sink_PRPP","TKT1",-0.0124,0.04610886
"308","Sink_PYR","TKT1",0.011,0.05974878
"309","Supply_COA","TKT1",0.0102,0.0511497
"310","Supply_FUM","TKT1",3e-04,0.00904386
"311","Supply_P_i","TKT1",-0.0023,0.02312856
"312","TAL","TKT1",0.0458,0.05648706
"313","TKT1","TKT1",0.0059,0.02564898
"314","TKT2","TKT1",0.0047,0.02342508
"315","TPI","TKT1",0.0065,0.02401812
"316","XFPK1","TKT1",0.0028,0.22491042
"317","XFPK2","TKT1",-0.0147,0.31119774
"318","ZWF","TKT1",0.0175,0.096369
"319","ACO","TKT2",0.0031,0.05737662
"320","ADK","TKT2",0.0073,0.0363237
"321","ALD","TKT2",0.2236,0.3135699
"322","ATPSyn","TKT2",-4e-04,0.01363992
"323","CS","TKT2",0.0031,0.05737662
"324","DEVB","TKT2",-0.0483,0.07279566
"325","ENO","TKT2",0.0335,0.05915574
"326","FBA","TKT2",-0.0087,0.014826
"327","FBPase","TKT2",0.2236,0.3135699
"328","FUMC","TKT2",-0.0022,0.00637518
"329","GAPD","TKT2",-2e-04,0.014826
"330","GLCO","TKT2",0.0021,0.0170499
"331","GND","TKT2",-0.0483,0.07279566
"332","ICD","TKT2",0.0031,0.05737662
"333","MDH","TKT2",0.0807,0.15804516
"334","ME","TKT2",0.0126,0.03202416
"335","NADPase","TKT2",-6e-04,0.01423296
"336","PDH","TKT2",0.0343,0.07902258
"337","PGI","TKT2",-0.0666,0.09147642
